om_nombreVia;om_longitudVia;om_tipoVia;om_tieneCodigoVia;om_puntoFinalVia_long;om_puntoFinalVia_lat;om_puntoInicioVia_lat;om_puntoInicioVia_long;om_puntoMedioVia_lat;om_puntoMedioVia_long;om_situadaEnBarrio_label
Santa Gertrudis;104.64;Calle;732;-6.374942;39.478983;39.477983;-6.375042;39.478499;-6.374973;Margallo
Eulogio Blasco;160.05;Calle;185;-6.376342;39.478983;39.478183;-6.378042;39.478574;-6.377098;Peña Redonda
Villuercas;68.09;Calle;534;-6.377342;39.478283;39.477783;-6.378042;39.47801;-6.377677;Peña Redonda
Antonio Canales;286.87;Plaza;2928;-6.376042;39.476883;39.475883;-6.377342;39.47642;-6.37669;Casas Baratas
Espadan;79.74;Calle;1717;-6.378042;39.474883;39.474483;-6.379042;39.474668;-6.378477;Hernán Cortés
Independencia;242.12;Calle;252;-6.378142;39.476883;39.474683;-6.378742;39.475626;-6.378615;Hernán Cortés
Cayo Norbano Flaco;298.2;Calle;1040;-6.376942;39.476283;39.473783;-6.378742;39.475157;-6.377796;Casas Baratas
Parras;229.59;Calle;368;-6.373442;39.475083;39.473383;-6.375042;39.4742;-6.374112;San Juan
Fray Bartolome De Las Casas;124.63;Calle;3559;-6.377842;39.473683;39.473083;-6.378742;39.473555;-6.377856;Hernán Cortés
Maestro Angel Rodriguez;55.69;Calle;293;-6.373442;39.475483;39.475083;-6.373942;39.475211;-6.373795;San Juan
General Ezponda;121.25;Calle;211;-6.371442;39.475983;39.475083;-6.372642;39.475559;-6.37205;Plaza Mayor
Sande;191.39;Calle;3542;-6.369242;39.477883;39.476083;-6.369642;39.477047;-6.36932;Santiago
Tiendas;73.93;Calle;504;-6.369542;39.475383;39.474783;-6.370042;39.475058;-6.369813;Ciudad Monumental
Amargura;131.21;Calle;27;-6.368842;39.474883;39.473983;-6.370042;39.474428;-6.369442;Ciudad Monumental
Moret;139.44;Calle;330;-6.372942;39.475183;39.473883;-6.373542;39.474504;-6.373217;San Juan
Pintores;227.73;Calle;1205;-6.371742;39.474983;39.473483;-6.373842;39.474176;-6.373032;San Juan
Hernando Pizarro;77.21;Calle;2083;-6.369842;39.472183;39.471483;-6.370342;39.471864;-6.369992;Ciudad Monumental
Ancha;91.17;Calle;32;-6.371242;39.472983;39.472083;-6.371742;39.472546;-6.371501;Ciudad Monumental
Donoso Cortes;171.14;Calle;168;-6.373442;39.473283;39.472183;-6.374942;39.472991;-6.374029;Santa Clara
Condes;52.7;Calle;3417;-6.371142;39.473383;39.472983;-6.371742;39.473185;-6.371465;Ciudad Monumental
Macarena;84.04;Calle;289;-6.369742;39.471683;39.470983;-6.370142;39.471339;-6.369884;Santa Clara
Virgen De La Montaña;357.04;Avda;541;-6.373842;39.471683;39.469383;-6.376942;39.470331;-6.375106;Virgen de la Montaña
Lope De Vega;189.43;Calle;284;-6.367542;39.481383;39.480083;-6.369142;39.480718;-6.368356;San Blas
Zorrilla;111.4;Calle;548;-6.368742;39.481683;39.480783;-6.369742;39.481208;-6.369291;San Blas
Tirso De Molina;157.43;Calle;505;-6.368342;39.481583;39.480383;-6.369642;39.480967;-6.368998;San Blas
Calderon De La Barca;158.98;Calle;94;-6.368142;39.481483;39.480283;-6.369442;39.480864;-6.368827;San Blas
Alcantara;113.89;Calle;12;-6.373742;39.480583;39.479683;-6.374742;39.48014;-6.374249;San Justo
Plasencia;119.99;Calle;388;-6.373442;39.480583;39.479683;-6.374442;39.480088;-6.37396;San Justo
Coria;86.92;Calle;144;-6.373242;39.480383;39.479783;-6.374042;39.480081;-6.373623;San Justo
Ceclavin;377.4;Calle;104;-6.369742;39.479783;39.479183;-6.373942;39.479566;-6.371992;San Justo
San Juan De Avila;214.83;Calle;3728;-6.367042;39.478883;39.478083;-6.369442;39.478462;-6.368162;San Blas
Calatayud;147.87;Calle;87;-6.378442;39.481283;39.480083;-6.379442;39.480599;-6.379021;Aguas Vivas
Zaragoza;139.59;Calle;76;-6.379242;39.481083;39.479783;-6.379942;39.48044;-6.379573;Aguas Vivas
Navas De Tolosa;170.53;Calle;342;-6.377742;39.479983;39.478683;-6.379042;39.479362;-6.378475;Aguas Vivas
Huesca;79.93;Calle;1006;-6.378742;39.479683;39.479183;-6.379542;39.479439;-6.379134;Aguas Vivas
Virgen De La Misericordia;77.54;Calle;540;-6.377442;39.479583;39.479083;-6.378242;39.47932;-6.377848;Aguas Vivas
Teruel;101.74;Calle;502;-6.378142;39.479183;39.478483;-6.379142;39.478816;-6.378635;Aguas Vivas
Padre Bayle;126.11;Calle;361;-6.374942;39.479383;39.478783;-6.376342;39.479147;-6.375739;Margallo
San Justo;440.18;Calle;441;-6.370442;39.479483;39.477583;-6.374742;39.478275;-6.372657;Margallo
Peñas;93.92;Calle;369;-6.369342;39.477883;39.476983;-6.369942;39.477388;-6.369656;Santiago
Barrio Nuevo;474.18;Calle;263;-6.372942;39.479883;39.476183;-6.375642;39.477883;-6.374055;Margallo
Bolivia;249.42;Calle;83;-6.373142;39.460883;39.458583;-6.373542;39.459741;-6.373296;Llopis Ivorra
Colombia;349.93;Calle;133;-6.371242;39.459983;39.459283;-6.375142;39.459374;-6.373019;Llopis Ivorra
Nicaragua;157.79;Calle;345;-6.372742;39.460583;39.460183;-6.374442;39.460477;-6.373594;Llopis Ivorra
Chile;125.35;Calle;127;-6.371942;39.460783;39.460083;-6.373242;39.460373;-6.372598;Llopis Ivorra
Cuba;205.96;Calle;150;-6.371542;39.460183;39.458583;-6.373042;39.459393;-6.372286;Llopis Ivorra
Ecuador;293.22;Calle;173;-6.371142;39.460883;39.458783;-6.373242;39.459785;-6.372074;Llopis Ivorra
Almonte;131.1;Calle;21;-6.367342;39.459883;39.459583;-6.368942;39.45974;-6.368113;Espíritu Santo
Guadalquivir;60.35;Calle;231;-6.367242;39.460083;39.459883;-6.368042;39.460009;-6.367661;Espíritu Santo
Ramiro De Maeztu;58.69;Calle;3540;-6.374942;39.467483;39.467283;-6.375642;39.467397;-6.375263;Reyes Huertas
Del Espiritu Santo;131.42;Plaza;182;-6.367242;39.460483;39.460283;-6.368842;39.460378;-6.368042;Espíritu Santo
Jesus Nazareno;278.58;Calle;262;-6.388342;39.452883;39.450383;-6.389642;39.451598;-6.388964;La Abundancia
Garrovillas;159.9;Calle;209;-6.388642;39.452983;39.451483;-6.389242;39.452373;-6.388947;La Abundancia
Rio Elba;148.76;Calle;217;-6.389242;39.453783;39.452383;-6.389442;39.45313;-6.38936;La Abundancia
De Portugal;213.96;Avda;1576;-6.379042;39.468283;39.466283;-6.379242;39.467322;-6.379124;Moctezuma
De Ibarrola;1130.4;Paseo;3375;-6.375642;39.484983;39.482383;-6.379942;39.483588;-6.377339;Paseo Alto
Tintoretto;111.54;Calle;162;-6.363842;39.483983;39.483183;-6.364842;39.483572;-6.364296;Seminario
Virgen De Guadalupe;1035.6;Avda;537;-6.379042;39.472683;39.466183;-6.387842;39.469899;-6.382735;Virgen de Guadalupe
Marron;220.63;Plaza;304;-6.374542;39.472583;39.471783;-6.375742;39.472268;-6.374708;Virgen de la Montaña
De San Juan;305.92;Plaza;1766;-6.372842;39.473883;39.473383;-6.373442;39.473601;-6.373111;San Juan
Del Duque;62.95;Plaza;1233;-6.370542;39.476083;39.475583;-6.371042;39.475967;-6.370581;Plaza Mayor
Condes De Santa Olalla;39.73;Calle;3624;-6.369342;39.476783;39.476583;-6.369842;39.476666;-6.369625;Santiago
Camberos;65.11;Calle;3569;-6.369542;39.476383;39.476083;-6.370342;39.476222;-6.369921;Santiago
Comandante Sanchez Herrero;74.81;Calle;3415;-6.376042;39.473083;39.472483;-6.376742;39.472871;-6.376312;San Juan
Profesor Hernandez Pacheco;251.64;Calle;393;-6.370542;39.470083;39.469283;-6.373442;39.469803;-6.372069;Hernández Pacheco
Batalla Del Salado;309.89;Calle;74;-6.377942;39.478283;39.475683;-6.379142;39.477093;-6.378955;Hernán Cortés
El Salvador;169.03;Calle;675;-6.372742;39.459883;39.458483;-6.373342;39.459281;-6.372906;Llopis Ivorra
Del Doctor Duran;80.96;Plaza;2558;-6.373142;39.473483;39.473083;-6.373942;39.473257;-6.37345;San Juan
Albacete;57.29;Calle;3556;-6.375342;39.467283;39.467083;-6.376042;39.467173;-6.375713;Reyes Huertas
Hernan Cortes;1004.06;Avda;2456;-6.374942;39.480283;39.472883;-6.379642;39.47721;-6.379358;Hernán Cortés
Camino Llano;446.28;Calle;611;-6.370542;39.472383;39.469983;-6.374742;39.470869;-6.373028;Santa Clara
De La Cruz Roja;163.05;Calle;4032;-6.363842;39.485683;39.484783;-6.365542;39.485256;-6.364639;San Jorge
Rio Po;121.05;Calle;401;-6.389042;39.453783;39.452583;-6.389242;39.453232;-6.389124;La Abundancia
Aliseda;44.47;Calle;19;-6.387042;39.446783;39.446383;-6.387442;39.446604;-6.38721;Barriada Minera
Santa Lucia;278.53;Calle;3367;-6.388042;39.452783;39.450283;-6.389242;39.451536;-6.388595;La Abundancia
Hojalateros;504.35;Calle;3996;-6.412842;39.483983;39.482583;-6.418442;39.483186;-6.415696;Industrial Las Capellanías
De España;1100.52;Avda;3048;-6.376042;39.473083;39.468383;-6.379342;39.471682;-6.377078;Cánovas
San Vicente De Paul;126.26;Calle;829;-6.377842;39.467283;39.466583;-6.379142;39.466911;-6.378466;Moctezuma
